# T swD swB Rd Nd pd_over_eq pb_over_eq burnup swD1600 swB1600
900.0 0.5362741409330753 0.10433712537088877 36.65478201750884 2.5995987718528397e+19 115.77123730900577 2.644233658483619 0.2 0.48799826477571323 1.6611756655101657e-05
950.0 0.5423543849879064 0.1127037054822874 36.82576460673369 2.5926221563493937e+19 71.08882666695848 1.9583491110553992 0.5 1.1955199179467642 0.0008429506312925308
1000.0 0.5519368324267151 0.12167516960135735 37.093842068982454 2.581637802745232e+19 46.98135023391736 1.5851395270217308 0.8 1.7804148040571959 0.006832068582021837
1050.0 0.5657301134270136 0.13047190298584024 37.47670441409554 2.565880977864607e+19 33.04941821246409 1.3697710346694483 1.1 2.2637135902583343 0.027170456756540527
1100.0 0.5841696756368465 0.13854984688848912 37.98315029962455 2.544939447831282e+19 24.521108248240242 1.2403531905391083 1.3 2.538122820537261 0.05393733756110633
1150.0 0.6074119491177962 0.14566710336318217 38.61322153605899 2.5187589792739693e+19 19.03838055964497 1.160368146833575 1.6 2.8890818879539286 0.11879402056525208
1200.0 0.635410110214998 0.15182840810245746 39.36086546124284 2.4875487133234733e+19 15.35875912631674 1.1098099762152362 2.0 3.2658471916395664 0.25044287087474654
1250.0 0.6681651927465811 0.15717452204205548 40.22118928846241 2.4514921934763676e+19 12.782352364151569 1.0770212723643509 2.5 3.631926847250302 0.4686498908196461
1300.0 0.7066834504777699 0.16184875784787242 41.21513632665508 2.409717266242043e+19 10.866244286837947 1.0546972215847379 3.2 4.0218221356695105 0.8251844325307746
1350.0 0.7565723334585952 0.1657210461916881 42.477475977851284 2.3565992638636904e+19 9.248571613453915 1.0376360157597748 4.0 4.365372273759042 1.2571190419355744
1400.0 0.8382043770463369 0.16746264082033369 44.49202128503098 2.2720344184838525e+19 7.588330040583537 1.0223876764395188 5.0 4.707482774851811 1.8009515407496666
1450.0 0.9996801426493134 0.16239431334421167 48.33777709031541 2.1130629356608623e+19 5.856949824417209 1.0100252172111406 6.0 4.990636865463324 2.338496937724299
1500.0 1.3072913764151575 0.1415457716412512 55.367786487834465 1.8387060395526689e+19 4.489415220141839 1.0035205062262853 nan nan nan
1550.0 1.8147232001682636 0.09997385469146351 66.72968774301201 1.4580234344520309e+19 3.6866637352901965 1.001157590691927 nan nan nan
1600.0 2.538122820537261 0.05393733756110633 83.47353957988783 1.0417836469626147e+19 3.2732630908610125 1.0003927852638428 nan nan nan
1650.0 3.467061082597593 0.02372178865070833 107.28208102337707 6.703341054589107e+18 3.078679704451323 1.0001588699498378 nan nan nan
1700.0 4.597818549977432 0.009512749899840295 141.63259868150277 3.863434447353203e+18 3.0589246740140625 1.000103701577722 nan nan nan
1750.0 5.929110267795149 0.003749496899755739 192.7291182353619 1.977237846120177e+18 3.230733465175026 1.0000950190573255 nan nan nan
1800.0 7.439240300535775 0.001499275318499132 270.39484853792464 8.983482747943994e+17 3.634406456859485 1.0000951599711647 nan nan nan
1850.0 9.076963145861585 0.0006161590582165419 389.0479887824821 3.679954417491723e+17 4.332890683139344 1.0000967032248251 nan nan nan
1900.0 10.772648727343194 0.0002627980941247977 568.5778877216234 1.3991490828173862e+17 5.414837675134824 1.0000985736805748 nan nan nan
1950.0 12.459846422727995 0.00011724402182876103 835.2248395503129 5.105213097904521e+16 6.997687547471622 1.0001006048975078 nan nan nan
2000.0 14.090629793044446 5.489076946753416e-05 1222.7317039346915 1.8401290272141732e+16 9.232837150530724 1.000102655487091 nan nan nan
